,Address,"Town, State",Price,Beds,Sqft,Baths,Garage,Backyard,Basement
0,3406 Oakmont Dr,"Midland, TX","$314,900 ",4,"2,137",3,TRUE,FALSE,FALSE
1,4202 Thornberry Dr,"Midland, TX","$230,000 ",3,"1,469",2,TRUE,TRUE,FALSE
2,1901 Pagewood Dr,"Midland, TX","$810,000 ",4,"4,094",4,TRUE,TRUE,TRUE
3,3107 Gulf Ave,"Midland, TX","$675,000 ",4,"3,285",4,FALSE,TRUE,FALSE
4,4504 Falcon Pl,"Midland, TX","$299,000 ",3,"1,849",2,TRUE,FALSE,TRUE
5,6113 Turtle Creek Rd,"Midland, TX","$533,000 ",4,"2,964",3,TRUE,TRUE,FALSE
6,7 Cambridge Ct,"Midland, TX","$350,000 ",4,"2,609",3,TRUE,TRUE,FALSE
7,6711 Victory Pkwy,"Midland, TX","$285,000 ",4,"1,822",2,TRUE,TRUE,FALSE
8,4406 Navasota Dr,"Midland, TX","$421,500 ",4,"2,348",2,TRUE,TRUE,FALSE
9,7201 E County Road 113,"Midland, TX","$1,500,000 ",6,"4,964",6,TRUE,TRUE,FALSE
10,3215 Ranchland Dr,"Midland, TX","$259,900 ",3,"1,671",2,TRUE,TRUE,FALSE
11,2405 Fannin Ave,"Midland, TX","$280,000 ",3,"1,992",2,TRUE,FALSE,FALSE
12,202 N Eisenhower Dr,"Midland, TX","$150,000 ",4,"1,868",2,TRUE,FALSE,FALSE
13,4505 Princeton Ave,"Midland, TX","$224,000 ",5,"1,860",2,TRUE,TRUE,FALSE
14,4601 Wilshire Dr,"Midland, TX","$162,000 ",4,"1,741",2,TRUE,TRUE,FALSE
15,10706 E County Road 105,"Midland, TX","$275,000 ",3,"1,447",2,TRUE,TRUE,FALSE
16,9711 S County Road 1213,"Midland, TX","$360,000 ",4,"2,160",2,TRUE,TRUE,FALSE
17,Daybreak Estates,"Midland, TX","$298,990 ",3,"1,876",2,TRUE,TRUE,FALSE
18,4726 Harvard Ave,"Midland, TX","$215,000 ",3,"1,424",2,TRUE,TRUE,FALSE
19,3105 Southridge Ct,"Midland, TX","$260,000 ",3,"1,632",2,TRUE,TRUE,FALSE
20,14140 Lariat Trl,"Gardendale, TX","$629,900 ",6,"3,840",6,TRUE,FALSE,FALSE
